Country/territory of the murder,City of the murder,Location of the murder,Gender identity or expression,Sex Characteristics,Sexual Orientation,Occupation,Migrant status,Nationality,Race,Age range,Disability,TDoR period (Oct-Sept),Calendar year,Date of the incident,Time of the incident,Type of homicide/murder,Type of location of the murder,Number of perpetrators,Type of perpetrator(s),Basis for bias,Bias indicators,Source of information about the murder,Reported by,Response from local authorities,ciudad_limpia,departamento,hubo_respuesta_institucional,solo_departamento_reportado
"Sudamérica, Latinoamérica y el Caribe::Colombia","Arauca, Caldas",5.1110287|-75.7020957,trans / transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,19 a 25,,TDoR 2022,2021,2021/11/20,,tiroteo,lugar de trabajo sexual o cerca,2,,trabajo sexual,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Arauca,Caldas,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Bogotá, Distrito Capital",4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,,,TDoR 2022,2021,2021/12/07,,apuñalamiento,calle,1,extraño / sin relación directa,trabajo sexual,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Bogotá,Distrito Capital,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Pereira, Risaralda",4.8143159|-75.6946778,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,White,26 a 30,,TDoR 2022,2021,2021/12/22,,apuñalamiento,residencia propia,1,cliente de trabajo sexual,trabajo sexual,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,autor detenido,Pereira,Risaralda,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","El Bagre, Antioquia",7.5989686|-74.8046507,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,,19 a 25,,TDoR 2022,2022,2022/04/03,,tiroteo,calle,,,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,El Bagre,Antioquia,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Bogotá, Distrito Capital",4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,,,,TDoR 2022,2022,2022/04/06,,,calle,,,,,press,rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Bogotá,Distrito Capital,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Bucaramanga, Santander",7.1274697|-73.1191168,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,,26 a 30,,TDoR 2022,2022,2022/04/13,,apuñalamiento,calle,1,ex-pareja / ex-amante,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Bucaramanga,Santander,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Valledupar, Cesar",10.4651733|-73.2529512,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,activista / líder comunitarie,migrante internacional,Venezuela,,19 a 25,,TDoR 2022,2022,2022/04/17,,apuñalamiento,calle,1,co-worker,trabajo sexual,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Valledupar,Cesar,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Pereira, Risaralda",4.8143159|-75.6946778,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,,,TDoR 2022,2022,2022/05/26,,tiroteo,parque / plaza pública / espacio / mercado / gasolinera,1,,,,press,rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Pereira,Risaralda,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Fonseca, La Guajira",10.7773005|-72.7985609,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,19 a 25,,TDoR 2022,2022,2022/06/24,,tiroteo,residencia propia,1,extraño / sin relación directa,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Fonseca,La Guajira,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Rionegro,6.1536166|-75.3741691,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,26 a 30,,TDoR 2022,2022,2022/07/07,,,lugar de trabajo sexual o cerca,1,cliente de trabajo sexual,trabajo sexual,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Rionegro,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Armenia, Quindío",4.536307|-75.6723751,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,,,,31 a 40,,TDoR 2022,2022,2022/07/16,,apuñalamiento,,,,,,other,,,Armenia,Quindío,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Cali, Valle del Cauca",3.398212|-76.575703,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,White,31 a 40,,TDoR 2022,2022,2022/07/27,,tiroteo,coche / furgoneta / taxi / vehículo de transporte,1,policía / militar / ejército,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Cali,Valle del Cauca,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cali,3.4519988|-76.5325259,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,migrante internacional,Venezuela,Black,31 a 40,,TDoR 2023,2023,2023/04/21,,apuñalamiento,calle,1,extraño / sin relación directa,identidad de género / expresión de género,diferencias entre sospechoso y víctima,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Acacías,3.9887317|-73.767432,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,,,TDoR 2023,2023,2023/07/08,,apuñalamiento,calle,1,extraño / sin relación directa,trabajo sexual,,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Acacías,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Malambo,10.8653387|-74.7746194,no-binarie,,Desconocida,empleado / funcionario público / empleado,no es migrante,Colombia,Black,,,TDoR 2023,2023,2023/07/13,,tiroteo,calle,,organised hate group / gang,otro,"lenguaje utilizado (escritos, gestos, graffiti)",press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Malambo,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Medellín,6.2443382|-75.573553,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,migrante internacional,Venezuela,Black,26 a 30,,TDoR 2023,2023,2023/08/09,,apuñalamiento,lugar de trabajo sexual o cerca,1,cliente de trabajo sexual,trabajo sexual,grado / tipo de violencia,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Medellín,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Calarcá, Quindio",4.526265946199344|-75.64135430652395,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,26 a 30,,TDoR 2023,2022,2022/10/09,,apuñalamiento,matorral / campo / pastizales / zona rural / arboleda / bosque,,otro,otro,diferencias entre sospechoso y víctima,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Calarcá,Quindío,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogotá,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,migrante internacional,Venezuela,,31 a 40,,TDoR 2023,2022,2022/12/04,,apuñalamiento,residencia propia,1,pareja / amante / cónyuge,identidad de género / expresión de género,,press,Rede Trans Brasil / Observatório Trans,,Bogotá,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Villavicencio, Meta",4.1347644|-73.6201517,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,otro,no es migrante,Colombia,White,31 a 40,,TDoR 2023,2023,2023/01/18,,apuñalamiento,residencia propia,,,identidad de género / expresión de género,grado / tipo de violencia,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Villavicencio,Meta,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Medellín, Antioquia",6.2443382|-75.573553,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,White,61 a 70,,TDoR 2023,2023,2023/01/19,,apuñalamiento,residencia propia,,,identidad de género / expresión de género,grado / tipo de violencia,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Medellín,Antioquia,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Barranquilla, Atlántico",10.9938599|-74.7926118,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,19 a 25,,TDoR 2023,2023,2023/02/11,,tiroteo,calle,1,,identidad de género / expresión de género,,press,Rede Trans Brasil / Observatório Trans,,Barranquilla,Atlántico,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Soledad, Atlántico",10.9149593|-74.7821054,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,41 a 50,,TDoR 2023,2023,2023/02/19,,tiroteo,calle,1,,identidad de género / expresión de género,grado / tipo de violencia,press,Rede Trans Brasil / Observatório Trans,,Soledad,Atlántico,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Cali, Valle Del Cauca",3.398212|-76.575703,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,26 a 30,,TDoR 2023,2023,2023/02/26,,tiroteo,calle,1,extraño / sin relación directa,trabajo sexual,grado / tipo de violencia,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Cali,Valle del Cauca,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Neiva,2.9257038|-75.2893937,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,26 a 30,,TDoR 2023,2023,2023/03/17,,apuñalamiento,calle,1,extraño / sin relación directa,otro,ubicación,press,Rede Trans Brasil / Observatório Trans,,Neiva,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bello,6.334997|-75.5582665,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,otro,no es migrante,Colombia,White,26 a 30,,TDoR 2023,2023,2023/03/24,,apuñalamiento,calle,1,,identidad de género / expresión de género,grado / tipo de violencia,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Bello,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",San Benito Abad,8.9293556|-75.0269099,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,26 a 30,,TDoR 2023,2023,2023/05/05,,apuñalamiento,otro,1,extraño / sin relación directa,identidad de género / expresión de género,grado / tipo de violencia,press,Rede Trans Brasil / Observatório Trans,,San Benito Abad,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",El Carmen de Bolívar,9.7169432|-75.1221847,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,activista / líder comunitarie,no es migrante,Colombia,Black,,,TDoR 2023,2023,2023/05/12,,tiroteo,residencia propia,2,organised hate group / gang,identidad de género / expresión de género,grupos de odio organizados,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,El Carmen de Bolívar,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Malambo,10.8653387|-74.7746194,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,26 a 30,,TDoR 2023,2023,2023/05/28,,tiroteo,calle,,,identidad de género / expresión de género,grado / tipo de violencia,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Malambo,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Villavicencio,4.1347644|-73.6201517,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,,,TDoR 2023,2023,2023/07/10,,,,,,,,LGBTIQ group,"Centro de Apoyo a las Identidades Trans, Caribe Afirmativo",,Villavicencio,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",San Antonio-Chaparral,3.91423|-75.48008,no-binarie,,Desconocida,,,,,41 a 50,,TDoR 2023,2023,2023/08/08,,tiroteo,lugar de trabajo / oficina,,,,,press,Caribe Afirmativo,,San Antonio-Chaparral,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Medellín,6.2443382|-75.573553,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,White,31 a 40,,TDoR 2023,2023,2023/08/14,,estrangulamiento / ahorcamiento,residencia propia,,,identidad de género / expresión de género,,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Medellín,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Mariquita, Tolima",5.1974195|-74.8939527,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,vendedor / comerciante,no es migrante,Colombia,,31 a 40,,TDoR 2023,2022,2022/11/25,,tiroteo,calle,1,extraño / sin relación directa,otro,otro,press,Rede Trans Brasil / Observatório Trans,,Mariquita,Tolima,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogotá,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,empleado / funcionario público / empleado,no es migrante,Colombia,Black,19 a 25,,TDoR 2023,2023,2023/06/08,,tiroteo,calle,2,organised hate group / gang,,,press,"Rede Trans Brasil / Observatório Trans, Centro de Apoyo a las Identidades Trans",,Bogotá,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Sincelejo, Sucre",9.2973386|-75.3926601,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,no es migrante,Colombia,Black,,no,TDoR 2024,2023,2023/10/31,,tiroteo,calle,1,organised hate group / gang,identidad de género / expresión de género,grado / tipo de violencia,LGBTIQ group,Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Red Sin Violencia LGBTI; Trans Lives Matter tdor.translivesmatter.info,,Sincelejo,Sucre,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Barranquilla, Atlántico",10.9938599|-74.7926118,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,26 a 30,,TDoR 2024,2023,2023/11/03,,tiroteo,calle,1,,,,press,Red Sin Violencia LGBTI,,Barranquilla,Atlántico,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Bogotá, Distrito Capital",4.6533816|-74.0836333,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,26 a 30,no,TDoR 2024,2023,2023/11/08,,apuñalamiento,hotel / motel / autocine,,,trabajo sexual,grado / tipo de violencia,press,Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Bogotá,Distrito Capital,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Cali, Valle del Cauca",3.398212|-76.575703,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,,no,TDoR 2024,2024,2024/02/29,,,,,,identidad de género / expresión de género,,press,Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Cali,Valle del Cauca,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Flandes, Tolima",4.2864999|-74.813697,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,migrante interno / doméstico,Colombia,Black,,no,TDoR 2024,2024,2024/03/25,,tiroteo,calle,2,organised hate group / gang,identidad de género / expresión de género,grado / tipo de violencia,press,Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Flandes,Tolima,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Bogotá, Distrito Capital",4.6533816|-74.0836333,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,trabajadorx sexual,migrante interno / doméstico,Colombia,Black,19 a 25,no,TDoR 2024,2024,2024/04/25,,otro,hotel / motel / autocine,3,cliente de trabajo sexual,trabajo sexual,grado / tipo de violencia,press,Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Bogotá,Distrito Capital,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Tadó, Chocó",5.2639656|-76.5587372,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,no es migrante,Colombia,Black,15 a 18,no,TDoR 2024,2024,2024/06/10,,lapidación,matorral / campo / pastizales / zona rural / arboleda / bosque,,,,historial de propensión a delitos anteriores,press,Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Tadó,Chocó,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Bucaramanga, Santander",-31.328854|-54.113438,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,26 a 30,no,TDoR 2024,2024,2024/08/29,,tiroteo,autopista / circunvalación / carretera,2,organised hate group / gang,identidad de género / expresión de género,percepción de los testigos,press,Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Bucaramanga,Santander,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Sevilla, Valle del Cauca",4.2641326|-75.9345019,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,,no,TDoR 2024,2023,2023/11/03,,apuñalamiento,residencia propia,1,conocido/a,otro,,press,Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Sevilla,Valle del Cauca,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Bogotá, Distrito Capital",4.6533816|-74.0836333,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,activista / líder comunitarie,migrante interno / doméstico,Colombia,Black,31 a 40,no,TDoR 2024,2023,2023/12/14,,estrangulamiento / ahorcamiento,matorral / campo / pastizales / zona rural / arboleda / bosque,,,identidad de género / expresión de género,grado / tipo de violencia,press,Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Bogotá,Distrito Capital,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Maicao, La Guajira",11.3832584|-72.2500151,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,peluquería / estilista / esteticista,migrante internacional,Venezuela,Black,41 a 50,no,TDoR 2024,2023,2023/12/22,,tiroteo,residencia propia,1,organised hate group / gang,identidad de género / expresión de género,grado / tipo de violencia,press,Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Maicao,La Guajira,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Montelibano,7.9800534|-75.4167198,mujer trans / trans femenina / trans femme / mujer transgénero,Intersexo,Desconocida,,no es migrante,Colombia,Black,31 a 40,no,TDoR 2024,2024,2024/01/13,,,,,,,,LGBTIQ group,Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Montelibano,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Cali, Valle del Cauca",3.398212|-76.575703,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,26 a 30,no,TDoR 2024,2024,2024/04/21,,tiroteo,hotel / motel / autocine,2,cliente de trabajo sexual,trabajo sexual,grado / tipo de violencia,LGBTIQ group,Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Cali,Valle del Cauca,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Pasto, Nariño",1.2140275|-77.2785096,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,no es migrante,Colombia,Black,,no,TDoR 2024,2024,2024/04/21,,otro,bar / restaurante / discoteca,,,identidad de género / expresión de género,,press,Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Pasto,Nariño,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Bogotá, Distrito Capital",4.6533816|-74.0836333,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,activista / líder comunitarie,no es migrante,Colombia,Black,,no,TDoR 2024,2024,2024/04/21,,,,,,identidad de género / expresión de género,,LGBTIQ group,Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Bogotá,Distrito Capital,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Soledad, Atlántico",10.9149593|-74.7821054,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,19 a 25,no,TDoR 2024,2024,2024/05/23,,tiroteo,otro,1,organised hate group / gang,,grado / tipo de violencia,press,Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Soledad,Atlántico,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Medellín, Antioquia",25.6572916|-100.155714405342,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,migrante internacional,Venezuela,Black,26 a 30,no,TDoR 2024,2024,2024/07/28,,apuñalamiento,parque / plaza pública / espacio / mercado / gasolinera,3,,identidad de género / expresión de género,grado / tipo de violencia,LGBTIQ group,Trans Lives Matter tdor.translivesmatter.info,,Medellín,Antioquia,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Cúcuta, Santander",7.8971458|-72.5080387,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,no es migrante,Colombia,Black,,no,TDoR 2024,2024,2024/09/25,,,calle,3,organised hate group / gang,identidad de género / expresión de género,historial de propensión a delitos anteriores,press,Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Cúcuta,Norte de Santander,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Santa Marta, Magdalena",11.2320944|-74.1950916,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,no es migrante,Colombia,Black,31 a 40,no,TDoR 2024,2023,2023/10/07,,tiroteo,calle,,organised hate group / gang,identidad de género / expresión de género,grado / tipo de violencia,press,Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Red Sin Violencia LGBTI; Trans Lives Matter tdor.translivesmatter.info,,Santa Marta,Magdalena,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Sincelejo, Sucre",9.2973386|-75.3926601,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,no es migrante,Colombia,Black,,no,TDoR 2024,2023,2023/11/12,,tiroteo,calle,2,organised hate group / gang,identidad de género / expresión de género,grado / tipo de violencia,LGBTIQ group,Centro de Apoyo a las Identidades Trans; Red Sin Violencia LGBTI; Trans Lives Matter tdor.translivesmatter.info,,Sincelejo,Sucre,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Cali, Valle del Cauca",3.398212|-76.575703,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,,no,TDoR 2024,2024,2024/02/28,,,calle,,,identidad de género / expresión de género,,press,Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Cali,Valle del Cauca,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Yumbo, Valle del Cauca",3.5834664|-76.4952223,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,no es migrante,Colombia,Black,,no,TDoR 2024,2024,2024/04/23,,,,,,identidad de género / expresión de género,,LGBTIQ group,Santamaría Fundación; Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Yumbo,Valle del Cauca,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Cartagena, Bolivar",10.4265566|-75.5441671,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,no es migrante,Colombia,Black,26 a 30,no,TDoR 2024,2024,2024/07/11,,tiroteo,calle,1,organised hate group / gang,,grado / tipo de violencia,press,Caribe afirmativo; Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Cartagena,Bolívar,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Medellín, Antioquia",6.2443382|-75.573553,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,migrante internacional,Venezuela,Black,26 a 30,no,TDoR 2024,2024,2024/07/29,,,playa / ribera / río / lago / bajo puente,,,,,press,Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Medellín,Antioquia,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Barranquilla, Atlántico",10.9938599|-74.7926118,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,31 a 40,no,TDoR 2024,2024,2024/09/04,,tiroteo,calle,,organised hate group / gang,trabajo sexual,características del delincuente,press,Centro de Apoyo a las Identidades Trans; Trans Lives Matter tdor.translivesmatter.info,,Barranquilla,Atlántico,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Medellín, Antioquia",19.2437132|-103.744096,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,activista / líder comunitarie,no es migrante,Colombia,Black,31 a 40,no,TDoR 2025,2024,2024/10/28,noche: 21:00 a 5:00,apuñalamiento,residencia de familiares / amigos / clientes,,,,diferencias entre sospechoso y víctima,press,Centro de Apoyo a las Identidades Trans,caso en investigación,Medellín,Antioquia,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Barrancabermeja, Santander",7.05080907|-73.84659079,hombre trans / trans masculino / hombre transgénero,endosex,Desconocida,camarera / camarero / cantinero(a),no es migrante,Colombia,Black,31 a 40,no,TDoR 2025,2025,2025/01/13,,tiroteo,bar / restaurante / discoteca,,organised hate group / gang,,características del delincuente,press,Centro de Apoyo a las Identidades Trans,caso en investigación,Barrancabermeja,Santander,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Hispania, Antioquia",5.79952886|-75.90790814,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,migrante interno / doméstico,Colombia,Black,,no,TDoR 2025,2025,2025/01/23,,tiroteo,matorral / campo / pastizales / zona rural / arboleda / bosque,,organised hate group / gang,,grado / tipo de violencia,press,Centro de Apoyo a las Identidades Trans,caso en investigación,Hispania,Antioquia,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Riohacha, La Guajira",11.2638513|-73.0122554,mujer trans / trans femenina / trans femme / mujer transgénero,endosex,Desconocida,,no es migrante,Colombia,Black,,no,TDoR 2025,2025,2025/02/04,,tiroteo,playa / ribera / río / lago / bajo puente,,,,grado / tipo de violencia,press,Centro de Apoyo a las Identidades Trans,caso en investigación,Riohacha,La Guajira,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Caucasia, Antioquia",7.9899496|-75.2068448,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,26 a 30,no,TDoR 2025,2025,2025/03/01,noche: 21:00 a 5:00,tiroteo,residencia propia,1,,,grado / tipo de violencia,press,Centro de Apoyo a las Identidades Trans,caso en investigación,Caucasia,Antioquia,True,False
